step,loss,logits_loss,aux_loss,lr
33500,1.5823,1.5823,0.0,4.22e-06
33600,1.7116,1.7116,0.0,4.2e-06
33700,1.7962,1.7962,0.0,4.17e-06
33800,1.4548,1.4548,0.0,4.15e-06
33900,1.6186,1.6186,0.0,4.12e-06
34000,1.4021,1.4021,0.0,4.1e-06
34100,1.4729,1.4729,0.0,4.08e-06
34200,1.7249,1.7249,0.0,4.05e-06
34300,1.6377,1.6377,0.0,4.03e-06
34400,1.6305,1.6305,0.0,4.01e-06
34500,1.8276,1.8276,0.0,3.98e-06
34600,1.5988,1.5988,0.0,3.96e-06
34700,1.5979,1.5979,0.0,3.94e-06
34800,1.8854,1.8854,0.0,3.91e-06
34900,1.5635,1.5635,0.0,3.89e-06
35000,1.533,1.533,0.0,3.87e-06
35100,1.519,1.519,0.0,3.84e-06
35200,1.6087,1.6087,0.0,3.82e-06
35300,1.3961,1.3961,0.0,3.8e-06
35400,1.3627,1.3627,0.0,3.77e-06
35500,1.499,1.499,0.0,3.75e-06
35600,1.5479,1.5479,0.0,3.73e-06
35700,1.5982,1.5982,0.0,3.7e-06
35800,1.5288,1.5288,0.0,3.68e-06
35900,1.6463,1.6463,0.0,3.66e-06
36000,1.6379,1.6379,0.0,3.64e-06
36100,1.7467,1.7467,0.0,3.61e-06
36200,1.5632,1.5632,0.0,3.59e-06
36300,1.6453,1.6453,0.0,3.57e-06
36400,1.5412,1.5412,0.0,3.55e-06
36500,1.3238,1.3238,0.0,3.52e-06
36600,1.5504,1.5504,0.0,3.5e-06
36700,1.5001,1.5001,0.0,3.48e-06
36800,1.4013,1.4013,0.0,3.46e-06
36900,1.4135,1.4135,0.0,3.43e-06
37000,1.3363,1.3363,0.0,3.41e-06
37100,1.8094,1.8094,0.0,3.39e-06
37200,1.6665,1.6665,0.0,3.37e-06
37300,1.8212,1.8212,0.0,3.35e-06
37400,1.6051,1.6051,0.0,3.32e-06
37500,1.7912,1.7912,0.0,3.3e-06
37600,1.5,1.5,0.0,3.28e-06
37700,1.5682,1.5682,0.0,3.26e-06
37800,1.654,1.654,0.0,3.24e-06
37900,1.6316,1.6316,0.0,3.22e-06
38000,1.5144,1.5144,0.0,3.19e-06
38100,1.5754,1.5754,0.0,3.17e-06
38200,1.3805,1.3805,0.0,3.15e-06
38300,1.4785,1.4785,0.0,3.13e-06
38400,1.3864,1.3864,0.0,3.11e-06
38500,1.6007,1.6007,0.0,3.09e-06
38600,1.5983,1.5983,0.0,3.07e-06
38700,1.8228,1.8228,0.0,3.05e-06
38800,1.432,1.432,0.0,3.02e-06
38900,1.5801,1.5801,0.0,3e-06
39000,1.634,1.634,0.0,2.98e-06
39100,1.6159,1.6159,0.0,2.96e-06
39200,1.5698,1.5698,0.0,2.94e-06
39300,1.492,1.492,0.0,2.92e-06
39400,1.6255,1.6255,0.0,2.9e-06
39500,1.4375,1.4375,0.0,2.88e-06
39600,1.5935,1.5935,0.0,2.86e-06
39700,1.8423,1.8423,0.0,2.84e-06
39800,1.5741,1.5741,0.0,2.82e-06
39900,1.7328,1.7328,0.0,2.8e-06
40000,1.6032,1.6032,0.0,2.78e-06
40100,1.7622,1.7622,0.0,2.76e-06
40200,1.6392,1.6392,0.0,2.74e-06
40300,1.4725,1.4725,0.0,2.72e-06
40400,1.4856,1.4856,0.0,2.7e-06
40500,1.6163,1.6163,0.0,2.68e-06
40600,1.591,1.591,0.0,2.66e-06
40700,1.4734,1.4734,0.0,2.64e-06
40800,1.5822,1.5822,0.0,2.62e-06
40900,1.6885,1.6885,0.0,2.6e-06
41000,1.3958,1.3958,0.0,2.59e-06
41100,1.4802,1.4802,0.0,2.57e-06
41200,1.4554,1.4554,0.0,2.55e-06
41300,1.7683,1.7683,0.0,2.53e-06
41400,1.5091,1.5091,0.0,2.51e-06
41500,1.6739,1.6739,0.0,2.49e-06
41600,1.6999,1.6999,0.0,2.47e-06
41700,1.4639,1.4639,0.0,2.45e-06
41800,1.5884,1.5884,0.0,2.44e-06
41900,1.6342,1.6342,0.0,2.42e-06
42000,1.4945,1.4945,0.0,2.4e-06
42100,1.363,1.363,0.0,2.38e-06
42200,1.6554,1.6554,0.0,2.36e-06
42300,1.6994,1.6994,0.0,2.35e-06
42400,1.5504,1.5504,0.0,2.33e-06
42500,1.6725,1.6725,0.0,2.31e-06
42600,1.6311,1.6311,0.0,2.29e-06
42700,1.6601,1.6601,0.0,2.28e-06
42800,1.6077,1.6077,0.0,2.26e-06
42900,1.7109,1.7109,0.0,2.24e-06
43000,1.6502,1.6502,0.0,2.22e-06
43100,1.4792,1.4792,0.0,2.21e-06
43200,1.5787,1.5787,0.0,2.19e-06
43300,1.4698,1.4698,0.0,2.17e-06
43400,1.6464,1.6464,0.0,2.16e-06
43500,1.5105,1.5105,0.0,2.14e-06
43600,1.7322,1.7322,0.0,2.12e-06
43700,1.4743,1.4743,0.0,2.11e-06
